timestamp,rule_id,rule_level,rule_description,srcip,agent,label,campaign_type
2026-07-13T15:15:13.673+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:15:13.673+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:15:45.667+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:15:45.668+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:15:45.670+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:15:45.673+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:15:45.675+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:15:45.677+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:13.686+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:16:13.687+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:16:13.688+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:13.690+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:16:13.693+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:16:13.695+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:13.697+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:16:13.700+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:16:13.702+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:13.705+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:16:13.707+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:16:13.709+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:25.687+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:16:25.730+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:16:25.730+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:43.696+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:16:43.737+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:16:43.737+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:03.713+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:03.713+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:03.716+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:03.718+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:03.720+0000,5501,3,PAM: Login session opened.,,vbox,0,
